Model,Tiling,Layer,Name,Type,Out_HxW,Cin,Cout,Weight_Bytes,T,Tiles,UB_Total,Fit_Half,Fit_Full
v10n,16x16,0,model.0.conv,Conv,320x320,3,16,432,16,400,8307,YES,YES
v10n,16x16,1,model.1.conv,Conv,160x160,16,32,4608,16,100,30736,YES,YES
v10n,16x16,2,model.2.cv1.conv,1x1,160x160,32,32,1024,16,100,17920,YES,YES
v10n,16x16,3,model.2.m.0.cv1.conv,Conv,160x160,16,16,2304,16,100,12096,YES,YES
v10n,16x16,4,model.2.m.0.cv2.conv,Conv,160x160,16,16,2304,16,100,12096,YES,YES
v10n,16x16,5,model.2.cv2.conv,1x1,160x160,48,32,1536,16,100,22528,YES,YES
v10n,16x16,6,model.3.conv,Conv,80x80,32,64,18432,16,25,70176,NO,YES
v10n,16x16,7,model.4.cv1.conv,1x1,80x80,64,64,4096,16,25,37376,YES,YES
v10n,16x16,8,model.4.m.0.cv1.conv,Conv,80x80,32,32,9216,16,25,28288,YES,YES
v10n,16x16,9,model.4.m.0.cv2.conv,Conv,80x80,32,32,9216,16,25,28288,YES,YES
v10n,16x16,10,model.4.m.1.cv1.conv,Conv,80x80,32,32,9216,16,25,28288,YES,YES
v10n,16x16,11,model.4.m.1.cv2.conv,Conv,80x80,32,32,9216,16,25,28288,YES,YES
v10n,16x16,12,model.4.cv2.conv,1x1,80x80,128,64,8192,16,25,57856,YES,YES
v10n,16x16,13,model.5.cv1.conv,1x1,80x80,64,128,8192,16,25,57856,YES,YES
v10n,16x16,14,model.5.cv2.conv,DW,40x40,128,128,1152,16,9,173824,NO,NO
v10n,16x16,15,model.6.cv1.conv,1x1,40x40,128,128,16384,16,9,82432,NO,YES
v10n,16x16,16,model.6.m.0.cv1.conv,Conv,40x40,64,64,36864,16,9,74496,NO,YES
v10n,16x16,17,model.6.m.0.cv2.conv,Conv,40x40,64,64,36864,16,9,74496,NO,YES
v10n,16x16,18,model.6.m.1.cv1.conv,Conv,40x40,64,64,36864,16,9,74496,NO,YES
v10n,16x16,19,model.6.m.1.cv2.conv,Conv,40x40,64,64,36864,16,9,74496,NO,YES
v10n,16x16,20,model.6.cv2.conv,1x1,40x40,256,128,32768,16,9,131584,NO,NO
v10n,16x16,21,model.7.cv1.conv,1x1,40x40,128,256,32768,16,9,131584,NO,NO
v10n,16x16,22,model.7.cv2.conv,DW,20x20,256,256,2304,16,4,347136,NO,NO
v10n,16x16,23,model.8.cv1.conv,1x1,20x20,256,256,65536,16,4,197120,NO,NO
v10n,16x16,24,model.8.m.0.cv1.conv,Conv,20x20,128,128,147456,16,4,222208,NO,NO
v10n,16x16,25,model.8.m.0.cv2.conv,Conv,20x20,128,128,147456,16,4,222208,NO,NO
