Model,Tiling,Index,Name,Type,Kernel,Stride,InputShape,OutputShape,Weight_B,Remaining_for_tiles,InTile_HW,InTile_B,OutTile_HW,OutTile_B,TileIO_B,Meta_B,TotalUB,Budget,WeightFitsUB,FailReason,Verdict
YOLOv10n,16x16,0,model.0.conv,Conv,3x3,2,640x640x3,320x320x16,432,261200,33x33,3267,16x16,4096,7363,512,8307,262144,True,,PASS
YOLOv10n,16x16,1,model.1.conv,Conv,3x3,2,320x320x16,160x160x32,4608,257024,33x33,17424,16x16,8192,25616,512,30736,262144,True,,PASS
YOLOv10n,16x16,2,model.2.cv1.conv,1x1,1x1,1,160x160x32,160x160x32,1024,260608,16x16,8192,16x16,8192,16384,512,17920,262144,True,,PASS
YOLOv10n,16x16,3,model.2.m.0.cv1.conv,Conv,3x3,1,160x160x16,160x160x16,2304,259328,18x18,5184,16x16,4096,9280,512,12096,262144,True,,PASS
YOLOv10n,16x16,4,model.2.m.0.cv2.conv,Conv,3x3,1,160x160x16,160x160x16,2304,259328,18x18,5184,16x16,4096,9280,512,12096,262144,True,,PASS
YOLOv10n,16x16,5,model.2.cv2.conv,1x1,1x1,1,160x160x48,160x160x32,1536,260096,16x16,12288,16x16,8192,20480,512,22528,262144,True,,PASS
YOLOv10n,16x16,6,model.3.conv,Conv,3x3,2,160x160x32,80x80x64,18432,243200,33x33,34848,16x16,16384,51232,512,70176,262144,True,,PASS
YOLOv10n,16x16,7,model.4.cv1.conv,1x1,1x1,1,80x80x64,80x80x64,4096,257536,16x16,16384,16x16,16384,32768,512,37376,262144,True,,PASS
YOLOv10n,16x16,8,model.4.m.0.cv1.conv,Conv,3x3,1,80x80x32,80x80x32,9216,252416,18x18,10368,16x16,8192,18560,512,28288,262144,True,,PASS
YOLOv10n,16x16,9,model.4.m.0.cv2.conv,Conv,3x3,1,80x80x32,80x80x32,9216,252416,18x18,10368,16x16,8192,18560,512,28288,262144,True,,PASS
YOLOv10n,16x16,10,model.4.m.1.cv1.conv,Conv,3x3,1,80x80x32,80x80x32,9216,252416,18x18,10368,16x16,8192,18560,512,28288,262144,True,,PASS
YOLOv10n,16x16,11,model.4.m.1.cv2.conv,Conv,3x3,1,80x80x32,80x80x32,9216,252416,18x18,10368,16x16,8192,18560,512,28288,262144,True,,PASS
YOLOv10n,16x16,12,model.4.cv2.conv,1x1,1x1,1,80x80x128,80x80x64,8192,253440,16x16,32768,16x16,16384,49152,512,57856,262144,True,,PASS
YOLOv10n,16x16,13,model.5.cv1.conv,1x1,1x1,1,80x80x64,80x80x128,8192,253440,16x16,16384,16x16,32768,49152,512,57856,262144,True,,PASS
YOLOv10n,16x16,14,model.5.cv2.conv,DW,3x3,2,80x80x128,40x40x128,1152,260480,33x33,139392,16x16,32768,172160,512,173824,262144,True,,PASS
YOLOv10n,16x16,15,model.6.cv1.conv,1x1,1x1,1,40x40x128,40x40x128,16384,245248,16x16,32768,16x16,32768,65536,512,82432,262144,True,,PASS
YOLOv10n,16x16,16,model.6.m.0.cv1.conv,Conv,3x3,1,40x40x64,40x40x64,36864,224768,18x18,20736,16x16,16384,37120,512,74496,262144,True,,PASS
YOLOv10n,16x16,17,model.6.m.0.cv2.conv,Conv,3x3,1,40x40x64,40x40x64,36864,224768,18x18,20736,16x16,16384,37120,512,74496,262144,True,,PASS
YOLOv10n,16x16,18,model.6.m.1.cv1.conv,Conv,3x3,1,40x40x64,40x40x64,36864,224768,18x18,20736,16x16,16384,37120,512,74496,262144,True,,PASS
YOLOv10n,16x16,19,model.6.m.1.cv2.conv,Conv,3x3,1,40x40x64,40x40x64,36864,224768,18x18,20736,16x16,16384,37120,512,74496,262144,True,,PASS
YOLOv10n,16x16,20,model.6.cv2.conv,1x1,1x1,1,40x40x256,40x40x128,32768,228864,16x16,65536,16x16,32768,98304,512,131584,262144,True,,PASS
YOLOv10n,16x16,21,model.7.cv1.conv,1x1,1x1,1,40x40x128,40x40x256,32768,228864,16x16,32768,16x16,65536,98304,512,131584,262144,True,,PASS
YOLOv10n,16x16,22,model.7.cv2.conv,DW,3x3,2,40x40x256,20x20x256,2304,259328,33x33,278784,16x16,65536,344320,512,347136,262144,True,tile_too_large,FAIL
YOLOv10n,16x16,23,model.8.cv1.conv,1x1,1x1,1,20x20x256,20x20x256,65536,196096,16x16,65536,16x16,65536,131072,512,197120,262144,True,,PASS
YOLOv10n,16x16,24,model.8.m.0.cv1.conv,Conv,3x3,1,20x20x128,20x20x128,147456,114176,18x18,41472,16x16,32768,74240,512,222208,262144,True,,PASS
YOLOv10n,16x16,25,model.8.m.0.cv2.conv,Conv,3x3,1,20x20x128,20x20x128,147456,114176,18x18,41472,16x16,32768,74240,512,222208,262144,True,,PASS
YOLOv10n,16x16,26,model.8.cv2.conv,1x1,1x1,1,20x20x384,20x20x256,98304,163328,16x16,98304,16x16,65536,163840,512,262656,262144,True,tile_too_large,FAIL
YOLOv10n,16x16,27,model.9.cv1.conv,1x1,1x1,1,20x20x256,20x20x128,32768,228864,16x16,65536,16x16,32768,98304,512,131584,262144,True,,PASS
YOLOv10n,16x16,28,model.9.cv2.conv,1x1,1x1,1,20x20x512,20x20x256,131072,130560,16x16,131072,16x16,65536,196608,512,328192,262144,True,tile_too_large,FAIL
YOLOv10n,16x16,29,model.10.cv1.conv,1x1,1x1,1,20x20x256,20x20x256,65536,196096,16x16,65536,16x16,65536,131072,512,197120,262144,True,,PASS
YOLOv10n,16x16,30,model.10.attn.qkv.conv,1x1,1x1,1,20x20x128,20x20x256,32768,228864,16x16,32768,16x16,65536,98304,512,131584,262144,True,,PASS
YOLOv10n,16x16,31,model.10.attn.pe.conv,DW,3x3,1,20x20x128,20x20x128,1152,260480,18x18,41472,16x16,32768,74240,512,75904,262144,True,,PASS
YOLOv10n,16x16,32,model.10.attn.proj.conv,1x1,1x1,1,20x20x128,20x20x128,16384,245248,16x16,32768,16x16,32768,65536,512,82432,262144,True,,PASS
YOLOv10n,16x16,33,model.10.ffn.0.conv,1x1,1x1,1,20x20x128,20x20x256,32768,228864,16x16,32768,16x16,65536,98304,512,131584,262144,True,,PASS
YOLOv10n,16x16,34,model.10.ffn.1.conv,1x1,1x1,1,20x20x256,20x20x128,32768,228864,16x16,65536,16x16,32768,98304,512,131584,262144,True,,PASS
YOLOv10n,16x16,35,model.10.cv2.conv,1x1,1x1,1,20x20x256,20x20x256,65536,196096,16x16,65536,16x16,65536,131072,512,197120,262144,True,,PASS
YOLOv10n,16x16,36,model.13.cv1.conv,1x1,1x1,1,40x40x384,40x40x128,49152,212480,16x16,98304,16x16,32768,131072,512,180736,262144,True,,PASS
YOLOv10n,16x16,37,model.13.m.0.cv1.conv,Conv,3x3,1,40x40x64,40x40x64,36864,224768,18x18,20736,16x16,16384,37120,512,74496,262144,True,,PASS
YOLOv10n,16x16,38,model.13.m.0.cv2.conv,Conv,3x3,1,40x40x64,40x40x64,36864,224768,18x18,20736,16x16,16384,37120,512,74496,262144,True,,PASS
YOLOv10n,16x16,39,model.13.cv2.conv,1x1,1x1,1,40x40x192,40x40x128,24576,237056,16x16,49152,16x16,32768,81920,512,107008,262144,True,,PASS
YOLOv10n,16x16,40,model.16.cv1.conv,1x1,1x1,1,80x80x192,80x80x64,12288,249344,16x16,49152,16x16,16384,65536,512,78336,262144,True,,PASS
