Model,Tiling,Core,LayerRange,ConvLayers,NonConvOps,TileOps,InstrRecords,Q_Max,Verdict
YOLOv10n,Adaptive_Half,Core0,0-6,7,5,205,230,512,PASS
YOLOv10n,Adaptive_Half,Core1,7-13,7,4,93,116,512,PASS
YOLOv10n,Adaptive_Half,Core2,14-20,7,10,205,240,512,PASS
YOLOv10n,Adaptive_Half,Core3,21-27,7,25,1060,1125,512,FAIL
YOLOv10n,Adaptive_Half,Core4,28-34,7,15,6418,6463,512,FAIL
YOLOv10n,Adaptive_Half,Core5,35-41,7,29,341,414,512,PASS
YOLOv10n,Adaptive_Half,Core6,42-48,7,14,154,197,512,PASS
YOLOv10n,Adaptive_Half,Core7,49-55,7,25,130,195,512,PASS
YOLOv10n,Adaptive_Half,Core8,56-62,7,29,278,351,512,PASS
YOLOv10n,Adaptive_Half,Core9,63-69,7,29,6504,6577,512,FAIL
YOLOv10n,Adaptive_Half,Core10,70-76,7,14,119,162,512,PASS
YOLOv10n,Adaptive_Half,Core11,77-82,6,25,115,178,512,PASS
YOLOv10n,Adaptive_Full,Core0,0-6,7,5,119,144,512,PASS
YOLOv10n,Adaptive_Full,Core1,7-13,7,4,54,77,512,PASS
YOLOv10n,Adaptive_Full,Core2,14-20,7,10,111,146,512,PASS
YOLOv10n,Adaptive_Full,Core3,21-27,7,25,119,184,512,PASS
YOLOv10n,Adaptive_Full,Core4,28-34,7,15,73,118,512,PASS
YOLOv10n,Adaptive_Full,Core5,35-41,7,29,163,236,512,PASS
YOLOv10n,Adaptive_Full,Core6,42-48,7,14,83,126,512,PASS
YOLOv10n,Adaptive_Full,Core7,49-55,7,25,119,184,512,PASS
YOLOv10n,Adaptive_Full,Core8,56-62,7,29,93,166,512,PASS
YOLOv10n,Adaptive_Full,Core9,63-69,7,29,102,175,512,PASS
YOLOv10n,Adaptive_Full,Core10,70-76,7,14,119,162,512,PASS
YOLOv10n,Adaptive_Full,Core11,77-82,6,25,64,127,512,PASS
YOLOv10s,Adaptive_Half,Core0,0-7,8,5,574,601,512,FAIL
YOLOv10s,Adaptive_Half,Core1,8-15,8,14,491,536,512,FAIL
YOLOv10s,Adaptive_Half,Core2,16-23,8,25,26256,26323,512,FAIL
YOLOv10s,Adaptive_Half,Core3,24-30,7,15,1288,1333,512,FAIL
YOLOv10s,Adaptive_Half,Core4,31-37,7,15,8008,8053,512,FAIL
YOLOv10s,Adaptive_Half,Core5,38-44,7,29,27881,27954,512,FAIL
YOLOv10s,Adaptive_Half,Core6,45-51,7,14,20957,21000,512,FAIL
YOLOv10s,Adaptive_Half,Core7,52-58,7,25,1376,1441,512,FAIL
YOLOv10s,Adaptive_Half,Core8,59-65,7,19,1073,1126,512,FAIL
YOLOv10s,Adaptive_Half,Core9,66-72,7,29,24090,24163,512,FAIL
YOLOv10s,Adaptive_Half,Core10,73-79,7,14,240,283,512,PASS
YOLOv10s,Adaptive_Half,Core11,80-86,7,25,119,184,512,PASS
YOLOv10s,Adaptive_Full,Core0,0-7,8,5,223,250,512,PASS
YOLOv10s,Adaptive_Full,Core1,8-15,8,14,249,294,512,PASS
YOLOv10s,Adaptive_Full,Core2,16-23,8,25,632,699,512,FAIL
YOLOv10s,Adaptive_Full,Core3,24-30,7,15,433,478,512,PASS
YOLOv10s,Adaptive_Full,Core4,31-37,7,15,877,922,512,FAIL
YOLOv10s,Adaptive_Full,Core5,38-44,7,29,957,1030,512,FAIL
YOLOv10s,Adaptive_Full,Core6,45-51,7,14,226,269,512,PASS
YOLOv10s,Adaptive_Full,Core7,52-58,7,25,581,646,512,FAIL
YOLOv10s,Adaptive_Full,Core8,59-65,7,19,522,575,512,FAIL
YOLOv10s,Adaptive_Full,Core9,66-72,7,29,6548,6621,512,FAIL
YOLOv10s,Adaptive_Full,Core10,73-79,7,14,124,167,512,PASS
YOLOv10s,Adaptive_Full,Core11,80-86,7,25,119,184,512,PASS
