Model,Index,Core,Name,Type,Kernel,Stride,OutHW,OutC,InC,CurWeight,MaxWeight,Margin,WeightOK,MinT_Q,Tiles_Q,TileShare,InTile_HW,InTile_B,OutTile_B,T_AdaptFull,Tiles_AdaptFull
YOLOv10n,0,0,model.0.conv,Conv,3x3,2,320x320,16,3,432,246541,246109,True,23,196,208,47x47,6627,8464,96,16
YOLOv10n,1,0,model.1.conv,Conv,3x3,2,160x160,32,16,4608,209360,204752,True,23,49,52,47x47,35344,16928,51,16
YOLOv10n,2,0,model.2.cv1.conv,1x1,1x1,1,160x160,32,32,1024,227776,226752,True,23,49,52,23x23,16928,16928,63,9
YOLOv10n,3,0,model.2.m.0.cv1.conv,Conv,3x3,1,160x160,16,16,2304,243168,240864,True,23,49,52,25x25,10000,8464,89,4
YOLOv10n,4,0,model.2.m.0.cv2.conv,Conv,3x3,1,160x160,16,16,2304,243168,240864,True,23,49,52,25x25,10000,8464,89,4
YOLOv10n,5,0,model.2.cv2.conv,1x1,1x1,1,160x160,32,48,1536,219312,217776,True,23,49,52,23x23,25392,16928,57,9
YOLOv10n,6,0,model.3.conv,Conv,3x3,2,80x80,64,32,18432,118176,99744,True,27,9,13,55x55,96800,46656,35,9
YOLOv10n,7,1,model.4.cv1.conv,1x1,1x1,1,80x80,64,64,4096,248832,244736,True,10,64,69,10x10,6400,6400,44,4
YOLOv10n,8,1,model.4.m.0.cv1.conv,Conv,3x3,1,80x80,32,32,9216,253824,244608,True,10,64,69,12x12,4608,3200,61,4
YOLOv10n,9,1,model.4.m.0.cv2.conv,Conv,3x3,1,80x80,32,32,9216,253824,244608,True,10,64,69,12x12,4608,3200,61,4
YOLOv10n,10,1,model.4.m.1.cv1.conv,Conv,3x3,1,80x80,32,32,9216,253824,244608,True,10,64,69,12x12,4608,3200,61,4
YOLOv10n,11,1,model.4.m.1.cv2.conv,Conv,3x3,1,80x80,32,32,9216,253824,244608,True,10,64,69,12x12,4608,3200,61,4
YOLOv10n,12,1,model.4.cv2.conv,1x1,1x1,1,80x80,64,128,8192,242432,234240,True,10,64,69,10x10,12800,6400,36,9
YOLOv10n,13,1,model.5.cv1.conv,1x1,1x1,1,80x80,128,64,8192,242432,234240,True,10,64,69,10x10,6400,12800,36,9
YOLOv10n,14,2,model.5.cv2.conv,DW,3x3,2,40x40,128,128,1152,242944,241792,True,5,64,66,11x11,15488,3200,19,9
YOLOv10n,15,2,model.6.cv1.conv,1x1,1x1,1,40x40,128,128,16384,255232,238848,True,5,64,66,5x5,3200,3200,30,4
YOLOv10n,16,2,model.6.m.0.cv1.conv,Conv,3x3,1,40x40,64,64,36864,256896,220032,True,5,64,66,7x7,3136,1600,40,1
YOLOv10n,17,2,model.6.m.0.cv2.conv,Conv,3x3,1,40x40,64,64,36864,256896,220032,True,5,64,66,7x7,3136,1600,40,1
YOLOv10n,18,2,model.6.m.1.cv1.conv,Conv,3x3,1,40x40,64,64,36864,256896,220032,True,5,64,66,7x7,3136,1600,40,1
YOLOv10n,19,2,model.6.m.1.cv2.conv,Conv,3x3,1,40x40,64,64,36864,256896,220032,True,5,64,66,7x7,3136,1600,40,1
YOLOv10n,20,2,model.6.cv2.conv,1x1,1x1,1,40x40,128,256,32768,252032,219264,True,5,64,66,5x5,6400,3200,24,4
YOLOv10n,21,3,model.7.cv1.conv,1x1,1x1,1,40x40,256,128,32768,255488,222720,True,4,100,168,4x4,2048,4096,24,4
YOLOv10n,22,3,model.7.cv2.conv,DW,3x3,2,20x20,256,256,2304,236800,234496,True,4,25,42,9x9,20736,4096,13,4
YOLOv10n,23,3,model.8.cv1.conv,1x1,1x1,1,20x20,256,256,65536,253440,187904,True,4,25,42,4x4,4096,4096,19,4
YOLOv10n,24,3,model.8.m.0.cv1.conv,Conv,3x3,1,20x20,128,128,147456,254976,107520,True,4,25,42,6x6,4608,2048,20,1
YOLOv10n,25,3,model.8.m.0.cv2.conv,Conv,3x3,1,20x20,128,128,147456,254976,107520,True,4,25,42,6x6,4608,2048,20,1
YOLOv10n,26,3,model.8.cv2.conv,1x1,1x1,1,20x20,256,384,98304,251392,153088,True,4,25,42,4x4,6144,4096,15,4
YOLOv10n,27,3,model.9.cv1.conv,1x1,1x1,1,20x20,128,256,32768,255488,222720,True,4,25,42,4x4,4096,2048,20,1
YOLOv10n,28,4,model.9.cv2.conv,1x1,1x1,1,20x20,256,512,131072,254720,123648,True,3,49,64,3x3,4608,2304,13,4
YOLOv10n,29,4,model.10.cv1.conv,1x1,1x1,1,20x20,256,256,65536,257024,191488,True,3,49,64,3x3,2304,2304,19,4
YOLOv10n,30,4,model.10.attn.qkv.conv,1x1,1x1,1,20x20,256,128,32768,258176,225408,True,3,49,64,3x3,1152,2304,20,1
YOLOv10n,31,4,model.10.attn.pe.conv,DW,3x3,1,20x20,128,128,1152,257280,256128,True,3,49,64,5x5,3200,1152,20,1
YOLOv10n,32,4,model.10.attn.proj.conv,1x1,1x1,1,20x20,128,128,16384,259328,242944,True,3,49,64,3x3,1152,1152,20,1
YOLOv10n,33,4,model.10.ffn.0.conv,1x1,1x1,1,20x20,256,128,32768,258176,225408,True,3,49,64,3x3,1152,2304,20,1
YOLOv10n,34,4,model.10.ffn.1.conv,1x1,1x1,1,20x20,128,256,32768,258176,225408,True,3,49,64,3x3,2304,1152,20,1
YOLOv10n,35,5,model.10.cv2.conv,1x1,1x1,1,20x20,256,256,65536,210432,144896,True,10,4,8,10x10,25600,25600,19,4
YOLOv10n,36,5,model.13.cv1.conv,1x1,1x1,1,40x40,128,384,49152,228864,179712,True,8,25,33,8x8,24576,8192,20,4
YOLOv10n,37,5,model.13.m.0.cv1.conv,Conv,3x3,1,40x40,64,64,36864,251136,214272,True,8,25,33,10x10,6400,4096,40,1
YOLOv10n,38,5,model.13.m.0.cv2.conv,Conv,3x3,1,40x40,64,64,36864,251136,214272,True,8,25,33,10x10,6400,4096,40,1
YOLOv10n,39,5,model.13.cv2.conv,1x1,1x1,1,40x40,128,192,24576,241152,216576,True,8,25,33,8x8,12288,8192,27,4
YOLOv10n,40,5,model.16.cv1.conv,1x1,1x1,1,80x80,64,192,12288,245248,232960,True,8,100,133,8x8,12288,4096,31,9
YOLOv10n,41,5,model.16.m.0.cv1.conv,Conv,3x3,1,80x80,32,32,9216,256384,247168,True,8,100,133,10x10,3200,2048,61,4
YOLOv10n,42,6,model.16.m.0.cv2.conv,Conv,3x3,1,80x80,32,32,9216,256384,247168,True,8,100,140,10x10,3200,2048,61,4
YOLOv10n,43,6,model.16.cv2.conv,1x1,1x1,1,80x80,64,96,6144,251392,245248,True,8,100,140,8x8,6144,4096,39,9
YOLOv10n,44,6,model.17.conv,Conv,3x3,2,40x40,64,64,36864,239040,202176,True,8,25,35,17x17,18496,4096,26,4
YOLOv10n,45,6,model.19.cv1.conv,1x1,1x1,1,40x40,128,192,24576,241152,216576,True,8,25,35,8x8,12288,8192,27,4
YOLOv10n,46,6,model.19.m.0.cv1.conv,Conv,3x3,1,40x40,64,64,36864,251136,214272,True,8,25,35,10x10,6400,4096,40,1
YOLOv10n,47,6,model.19.m.0.cv2.conv,Conv,3x3,1,40x40,64,64,36864,251136,214272,True,8,25,35,10x10,6400,4096,40,1
YOLOv10n,48,6,model.19.cv2.conv,1x1,1x1,1,40x40,128,192,24576,241152,216576,True,8,25,35,8x8,12288,8192,27,4
YOLOv10n,49,7,model.20.cv1.conv,1x1,1x1,1,40x40,128,128,16384,257536,241152,True,4,100,168,4x4,2048,2048,30,4
YOLOv10n,50,7,model.20.cv2.conv,DW,3x3,2,20x20,128,128,1152,249216,248064,True,4,25,42,9x9,10368,2048,19,4
YOLOv10n,51,7,model.22.cv1.conv,1x1,1x1,1,20x20,256,384,98304,251392,153088,True,4,25,42,4x4,6144,4096,15,4
YOLOv10n,52,7,model.22.m.0.cv1.0.conv,DW,3x3,1,20x20,128,128,1152,254976,253824,True,4,25,42,6x6,4608,2048,20,1
YOLOv10n,53,7,model.22.m.0.cv1.1.conv,1x1,1x1,1,20x20,256,128,32768,255488,222720,True,4,25,42,4x4,2048,4096,20,1
YOLOv10n,54,7,model.22.m.0.cv1.2.conv.conv,DW,7x7,1,20x20,256,256,12544,231936,219392,True,4,25,42,10x10,25600,4096,18,4
YOLOv10n,55,7,model.22.m.0.cv1.2.conv1.conv,DW,3x3,1,20x20,256,256,2304,248320,246016,True,4,25,42,6x6,9216,4096,20,1
YOLOv10n,56,8,model.22.m.0.cv1.3.conv,1x1,1x1,1,20x20,128,256,32768,223232,190464,True,10,4,7,10x10,25600,12800,20,1
YOLOv10n,57,8,model.22.m.0.cv1.4.conv,DW,3x3,1,20x20,128,128,1152,230400,229248,True,10,4,7,12x12,18432,12800,20,1
YOLOv10n,58,8,model.22.cv2.conv,1x1,1x1,1,20x20,256,384,98304,197632,99328,True,10,4,7,10x10,38400,25600,15,4
YOLOv10n,59,8,model.23.one2one_cv2.0.0.conv,Conv,3x3,1,80x80,64,64,36864,251136,214272,True,8,100,119,10x10,6400,4096,40,4
YOLOv10n,60,8,model.23.one2one_cv2.0.1.conv,Conv,3x3,1,80x80,64,64,36864,251136,214272,True,8,100,119,10x10,6400,4096,40,4
YOLOv10n,61,8,model.23.one2one_cv2.0.2,1x1,1x1,1,80x80,64,64,4096,253440,249344,True,8,100,119,8x8,4096,4096,44,4
YOLOv10n,62,8,model.23.one2one_cv2.1.0.conv,Conv,3x3,1,40x40,64,128,73728,244736,171008,True,8,25,29,10x10,12800,4096,29,4
YOLOv10n,63,9,model.23.one2one_cv2.1.1.conv,Conv,3x3,1,40x40,64,64,36864,253312,216448,True,7,36,38,9x9,5184,3136,40,1
YOLOv10n,64,9,model.23.one2one_cv2.1.2,1x1,1x1,1,40x40,64,64,4096,255360,251264,True,7,36,38,7x7,3136,3136,40,1
YOLOv10n,65,9,model.23.one2one_cv2.2.0.conv,Conv,3x3,1,20x20,64,256,147456,237760,90304,True,7,9,9,9x9,20736,3136,17,4
YOLOv10n,66,9,model.23.one2one_cv2.2.1.conv,Conv,3x3,1,20x20,64,64,36864,253312,216448,True,7,9,9,9x9,5184,3136,20,1
YOLOv10n,67,9,model.23.one2one_cv2.2.2,1x1,1x1,1,20x20,64,64,4096,255360,251264,True,7,9,9,7x7,3136,3136,20,1
YOLOv10n,68,9,model.23.one2one_cv3.0.0.0.conv,DW,3x3,1,80x80,64,64,576,253312,252736,True,7,144,152,9x9,5184,3136,44,4
YOLOv10n,69,9,model.23.one2one_cv3.0.0.1.conv,1x1,1x1,1,80x80,80,64,5120,254576,249456,True,7,144,152,7x7,3136,3920,42,4
YOLOv10n,70,10,model.23.one2one_cv3.0.1.0.conv,DW,3x3,1,80x80,80,80,720,248512,247792,True,8,100,113,10x10,8000,5120,39,9
YOLOv10n,71,10,model.23.one2one_cv3.0.1.1.conv,1x1,1x1,1,80x80,80,80,6400,251392,244992,True,8,100,113,8x8,5120,5120,39,9
YOLOv10n,72,10,model.23.one2one_cv3.0.2,1x1,1x1,1,80x80,80,80,6400,251392,244992,True,8,100,113,8x8,5120,5120,39,9
YOLOv10n,73,10,model.23.one2one_cv3.1.0.0.conv,DW,3x3,1,40x40,128,128,1152,240640,239488,True,8,25,28,10x10,12800,8192,30,4
YOLOv10n,74,10,model.23.one2one_cv3.1.0.1.conv,1x1,1x1,1,40x40,80,128,10240,248320,238080,True,8,25,28,8x8,8192,5120,34,4
YOLOv10n,75,10,model.23.one2one_cv3.1.1.0.conv,DW,3x3,1,40x40,80,80,720,248512,247792,True,8,25,28,10x10,8000,5120,39,4
YOLOv10n,76,10,model.23.one2one_cv3.1.1.1.conv,1x1,1x1,1,40x40,80,80,6400,251392,244992,True,8,25,28,8x8,5120,5120,39,4
YOLOv10n,77,11,model.23.one2one_cv3.1.2,1x1,1x1,1,40x40,80,80,6400,259072,252672,True,4,100,188,4x4,1280,1280,39,4
YOLOv10n,78,11,model.23.one2one_cv3.2.0.0.conv,DW,3x3,1,20x20,256,256,2304,248320,246016,True,4,25,47,6x6,9216,4096,20,1
YOLOv10n,79,11,model.23.one2one_cv3.2.0.1.conv,1x1,1x1,1,20x20,80,256,20480,256256,235776,True,4,25,47,4x4,4096,1280,20,1
YOLOv10n,80,11,model.23.one2one_cv3.2.1.0.conv,DW,3x3,1,20x20,80,80,720,257472,256752,True,4,25,47,6x6,2880,1280,20,1
YOLOv10n,81,11,model.23.one2one_cv3.2.1.1.conv,1x1,1x1,1,20x20,80,80,6400,259072,252672,True,4,25,47,4x4,1280,1280,20,1
YOLOv10n,82,11,model.23.one2one_cv3.2.2,1x1,1x1,1,20x20,80,80,6400,259072,252672,True,4,25,47,4x4,1280,1280,20,1
YOLOv10s,0,0,model.0.conv,Conv,3x3,2,320x320,32,3,864,238077,237213,True,23,196,202,47x47,6627,16928,76,25
YOLOv10s,1,0,model.1.conv,Conv,3x3,2,160x160,64,32,18432,157088,138656,True,23,49,50,47x47,70688,33856,35,25
YOLOv10s,2,0,model.2.cv1.conv,1x1,1x1,1,160x160,64,64,4096,193920,189824,True,23,49,50,23x23,33856,33856,44,16
YOLOv10s,3,0,model.2.m.0.cv1.conv,Conv,3x3,1,160x160,32,32,9216,224704,215488,True,23,49,50,25x25,20000,16928,61,9
YOLOv10s,4,0,model.2.m.0.cv2.conv,Conv,3x3,1,160x160,32,32,9216,224704,215488,True,23,49,50,25x25,20000,16928,61,9
YOLOv10s,5,0,model.2.cv2.conv,1x1,1x1,1,160x160,64,96,6144,176992,170848,True,23,49,50,23x23,50784,33856,39,25
YOLOv10s,6,0,model.3.conv,Conv,3x3,2,80x80,128,64,73728,0,-73728,False,27,9,12,55x55,193600,93312,21,16
YOLOv10s,7,0,model.4.cv1.conv,1x1,1x1,1,80x80,128,128,16384,75008,58624,True,27,9,12,27x27,93312,93312,30,9
YOLOv10s,8,1,model.4.m.0.cv1.conv,Conv,3x3,1,80x80,64,64,36864,246016,209152,True,10,64,69,12x12,9216,6400,40,4
YOLOv10s,9,1,model.4.m.0.cv2.conv,Conv,3x3,1,80x80,64,64,36864,246016,209152,True,10,64,69,12x12,9216,6400,40,4
YOLOv10s,10,1,model.4.m.1.cv1.conv,Conv,3x3,1,80x80,64,64,36864,246016,209152,True,10,64,69,12x12,9216,6400,40,4
YOLOv10s,11,1,model.4.m.1.cv2.conv,Conv,3x3,1,80x80,64,64,36864,246016,209152,True,10,64,69,12x12,9216,6400,40,4
YOLOv10s,12,1,model.4.cv2.conv,1x1,1x1,1,80x80,128,256,32768,223232,190464,True,10,64,69,10x10,25600,12800,24,16
YOLOv10s,13,1,model.5.cv1.conv,1x1,1x1,1,80x80,256,128,32768,223232,190464,True,10,64,69,10x10,12800,25600,24,16
